2026-06-10 00:55:24.218 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-TEST_GROUP-1, groupId=TEST_GROUP] Revoke previously assigned partitions tp-seckill-0
2026-06-10 00:55:24.241 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.kafka.listener.KafkaMessageListenerContainer - TEST_GROUP: partitions revoked: [tp-seckill-0]
2026-06-10 00:55:24.242 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-TEST_GROUP-1, groupId=TEST_GROUP] Member consumer-TEST_GROUP-1-a7d0d2ae-4f5d-4af5-b48a-02ac3e87efe2 sending LeaveGroup request to coordinator localhost:9092 (id: 2147483646 rack: null) due to the consumer unsubscribed from all topics
2026-06-10 00:55:24.246 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-TEST_GROUP-1, groupId=TEST_GROUP] Resetting generation due to: consumer pro-actively leaving the group
2026-06-10 00:55:24.246 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-TEST_GROUP-1, groupId=TEST_GROUP] Request joining group due to: consumer pro-actively leaving the group
2026-06-10 00:55:24.246 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.clients.consumer.KafkaConsumer - [Consumer clientId=consumer-TEST_GROUP-1, groupId=TEST_GROUP] Unsubscribed all topics or patterns and assigned partitions
2026-06-10 00:55:24.247 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-TEST_GROUP-1, groupId=TEST_GROUP] Resetting generation due to: consumer pro-actively leaving the group
2026-06-10 00:55:24.247 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-TEST_GROUP-1, groupId=TEST_GROUP] Request joining group due to: consumer pro-actively leaving the group
2026-06-10 00:55:24.318 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.common.metrics.Metrics - Metrics scheduler closed
2026-06-10 00:55:24.318 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.metrics.JmxReporter
2026-06-10 00:55:24.318 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.common.metrics.Metrics - Metrics reporters closed
2026-06-10 00:55:24.321 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.common.utils.AppInfoParser - App info kafka.consumer for consumer-TEST_GROUP-1 unregistered
2026-06-10 00:55:24.323 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.kafka.listener.KafkaMessageListenerContainer - TEST_GROUP: Consumer stopped
